Type1,fileid
Grass,420.png
Grass,421.png
Water,422.png
Water,423.png
Normal,424.png
Ghost,425.png
Ghost,426.png
Normal,427.png
Normal,428.png
Normal,428-mega.png
Ghost,429.png
Dark,430.png
Normal,431.png
Normal,432.png
Psychic,433.png
Poison,434.png
Poison,435.png
Steel,436.png
Steel,437.png
Rock,438.png
Psychic,439.png
Normal,440.png
Normal,441.png
Ghost,442.png
Dragon,443.png
Dragon,444.png
Dragon,445.png
Dragon,445-mega.png
Normal,446.png
Fighting,447.png
Fighting,448.png
Fighting,448-mega.png
Ground,449.png
Ground,450.png
Poison,451.png
Poison,452.png
Poison,453.png
Poison,454.png
Grass,455.png
Water,456.png
Water,457.png
Water,458.png
Grass,459.png
Grass,460.png
Grass,460-mega.png
Dark,461.png
Electric,462.png
Normal,463.png
Ground,464.png
Grass,465.png
Electric,466.png
Fire,467.png
Fairy,468.png
Bug,469.png
Grass,470.png
Ice,471.png
Ground,472.png
Ice,473.png
Normal,474.png
Psychic,475.png
Psychic,475-mega.png
Rock,476.png
Ghost,477.png
Ice,478.png
Electric,479.png
Electric,479-heat.png
Electric,479-wash.png
Electric,479-frost.png
Electric,479-fan.png
Electric,479-mow.png
Psychic,480.png
Psychic,481.png
Psychic,482.png
Steel,483.png
Water,484.png
Fire,485.png
Normal,486.png
Ghost,487-altered.png
Ghost,487-origin.png
Psychic,488.png
Water,489.png
Water,490.png
Dark,491.png
Grass,492-land.png
Grass,492-sky.png
Normal,493.png
Psychic,494.png
Grass,495.png
Grass,496.png
Grass,497.png
Fire,498.png
Fire,499.png
Fire,500.png
Water,501.png
Water,502.png
Water,503.png
Normal,504.png
Normal,505.png
Normal,506.png
Normal,507.png
Normal,508.png
Dark,509.png
Dark,510.png
Grass,511.png
Grass,512.png
Fire,513.png
Fire,514.png
Water,515.png
Water,516.png
Psychic,517.png
Psychic,518.png
Normal,519.png
Normal,520.png
Normal,521.png
Electric,522.png
Electric,523.png
Rock,524.png
Rock,525.png
Rock,526.png
Psychic,527.png
Psychic,528.png
Ground,529.png
Ground,530.png
Normal,531.png
Normal,531-mega.png
Fighting,532.png
Fighting,533.png
Fighting,534.png
Water,535.png
Water,536.png
Water,537.png
Fighting,538.png
Fighting,539.png
Bug,540.png
Bug,541.png
Bug,542.png
Bug,543.png
Bug,544.png
Bug,545.png
Grass,546.png
Grass,547.png
Grass,548.png
Grass,549.png
Water,550-blue-striped.png
Ground,551.png
Ground,552.png
Ground,553.png
Fire,554.png
Fire,555-standard.png
Grass,556.png
Bug,557.png
Bug,558.png
Dark,559.png
Dark,560.png
Psychic,561.png
Ghost,562.png
Ghost,563.png
Water,564.png
Water,565.png
Rock,566.png
Rock,567.png
Poison,568.png
Poison,569.png
Dark,570.png
Dark,571.png
Normal,572.png
Normal,573.png
Psychic,574.png
Psychic,575.png
Psychic,576.png
Psychic,577.png
Psychic,578.png
Psychic,579.png
Water,580.png
Water,581.png
Ice,582.png
Ice,583.png
Ice,584.png
Normal,585-summer.png
Normal,586-summer.png
Electric,587.png
Bug,588.png
Bug,589.png
Grass,590.png
Grass,591.png
Water,592.png
Water,593.png
Water,594.png
Bug,595.png
Bug,596.png
Grass,597.png
Grass,598.png
Steel,599.png
Steel,600.png
Steel,601.png
Electric,602.png
Electric,603.png
Electric,604.png
Psychic,605.png
Psychic,606.png
Ghost,607.png
Ghost,608.png
Ghost,609.png
Dragon,610.png
Dragon,611.png
Dragon,612.png
Ice,613.png
Ice,614.png
Ice,615.png
Bug,616.png
Bug,617.png
Ground,618.png
Fighting,619.png
Fighting,620.png
Dragon,621.png
Ground,622.png
Ground,623.png
Dark,624.png
Dark,625.png
Normal,626.png
Normal,627.png
Normal,628.png
Dark,629.png
Dark,630.png
Fire,631.png
Bug,632.png
Dark,633.png
Dark,634.png
Dark,635.png
Bug,636.png
Bug,637.png
Steel,638.png
Rock,639.png
Grass,640.png
Flying,641-incarnate.png
Flying,641-therian.png
Electric,642-incarnate.png
Electric,642-therian.png
Dragon,643.png
Dragon,644.png
Ground,645-incarnate.png
Ground,645-therian.png
Dragon,646.png
Dragon,646-black.png
Dragon,646-white.png
Water,647-ordinary.png
Water,647-resolute.png
Normal,648.png
Normal,648-pirouette.png
Bug,649.png
Grass,650.png
Grass,651.png
Grass,652.png
Fire,653.png
Fire,654.png
Fire,655.png
Water,656.png
Water,657.png
Water,658.png
Normal,659.png
Normal,660.png
Normal,661.png
Fire,662.png
Fire,663.png
Bug,664.png
Bug,665.png
Bug,666.png
Fire,667.png
Fire,668.png
Fairy,669.png
Fairy,670.png
Fairy,671.png
Grass,672.png
Grass,673.png
Fighting,674.png
Fighting,675.png
Normal,676.png
Psychic,677.png
Psychic,678.png
Psychic,678f.png
Steel,679.png
Steel,680.png
Steel,681-blade.png
Steel,681-shield.png
Fairy,682.png
Fairy,683.png
Fairy,684.png
Fairy,685.png
Dark,686.png
Dark,687.png
Rock,688.png
Rock,689.png
Poison,690.png
Poison,691.png
Water,692.png
Water,693.png
Electric,694.png
Electric,695.png
Rock,696.png
Rock,697.png
Rock,698.png
Rock,699.png
Fairy,700.png
Fighting,701.png
Electric,702.png
Rock,703.png
Dragon,704.png
Dragon,705.png
Dragon,706.png
Steel,707.png
Ghost,708.png
Ghost,709.png
Ghost,710.png
Ghost,711.png
Ice,712.png
Ice,713.png
Flying,714.png
Flying,715.png
Fairy,716.png
Dark,717.png
Dragon,718.png
Rock,719.png
Rock,719-mega.png
Psychic,720.png
Psychic,720-unbound.png
Fire,721.png
Grass,resize_Gogoat-11.jpg
Bug,resize_Venomoth-20.png
Ground,resize_Marowak-19.jpg
Psychic,resize_Alakazam-31.jpg
Water,resize_Poliwag-20.png
Dragon,resize_Rayquaza-14.png
Fire,resize_Typhlosion-2.png
Normal,resize_Rufflet-29.png
Fighting,resize_Mienshao-17.jpg
Water,resize_Qwilfish-8.png
Electric,resize_Heliolisk-10.png
Grass,resize_Sunflora-10.png
Electric,resize_Rotom-27.png
Normal,resize_Bunnelby-31.jpg
Dragon,resize_Zygarde50% Forme-34.png
Grass,resize_Pansage-18.png
Fighting,resize_MedichamMega Medicham-15.jpg
Fire,resize_Blaziken-30.png
Water,resize_Shellder-20.jpg
Grass,resize_AbomasnowMega Abomasnow-21.jpg
Dark,resize_Pawniard-19.png
Grass,resize_Abomasnow-26.png
Ground,resize_Stunfisk-21.png
Fire,resize_Pyroar-26.jpg
Electric,resize_Elekid-28.jpg
Water,resize_GyaradosMega Gyarados-6.jpg
Water,resize_SwampertMega Swampert-7.png
Steel,resize_AegislashShield Forme-10.png
Fire,resize_Pyroar-32.jpg
Grass,resize_Cacturne-29.png
Water,resize_Samurott-8.png
Psychic,resize_Chimecho-8.png
Normal,resize_Happiny-4.png
Water,resize_Magikarp-26.png
Normal,resize_Teddiursa-18.jpg
Bug,resize_Pinsir-15.jpg
Electric,resize_Rotom-33.png
Ground,resize_Claydol-29.png
Grass,resize_Shiftry-17.jpg
Ghost,resize_Cofagrigus-10.png
Water,resize_Froakie-12.jpg
Bug,resize_Paras-9.jpg
Bug,resize_Venomoth-34.png
Water,resize_Dewgong-27.jpg
Steel,resize_MetagrossMega Metagross-23.jpg
Normal,resize_Taillow-2.png
Fighting,resize_Gurdurr-32.jpg
Electric,resize_Voltorb-16.jpg
Normal,resize_Furfrou-20.png
Grass,resize_Carnivine-33.jpg
Dragon,resize_KyuremBlack Kyurem-33.png
Bug,resize_WormadamPlant Cloak-1.png
Water,resize_Piplup-12.jpg
Psychic,resize_DeoxysAttack Forme-34.jpg
Rock,resize_Bastiodon-17.jpg
Ice,resize_Swinub-26.jpg
Grass,resize_Pansage-24.png
Dark,resize_Hydreigon-2.png
Ground,resize_Krookodile-2.jpg
Normal,resize_Loudred-21.png
Bug,resize_Parasect-0.png
Dark,resize_Pawniard-25.png
Dragon,resize_Zekrom-7.jpg
Electric,resize_Mareep-16.jpg
Electric,resize_ThundurusTherian Forme-13.png
Psychic,resize_Mewtwo-21.jpg
Normal,resize_Bunnelby-19.jpg
Dark,resize_Weavile-17.png
Bug,resize_Crustle-25.png
Psychic,resize_DeoxysAttack Forme-20.jpg
Fighting,resize_Gurdurr-26.jpg
Normal,resize_Furfrou-34.png
Electric,resize_RotomHeat Rotom-4.png
Poison,resize_Dragalge-34.jpg
Psychic,resize_Alakazam-19.jpg
Grass,resize_Carnivine-27.jpg
Ground,resize_Marowak-31.jpg
Bug,resize_Crustle-9.png
Water,resize_Milotic-2.jpg
Dragon,resize_Druddigon-14.png
Psychic,resize_Woobat-27.png
Normal,resize_Teddiursa-24.jpg
Ground,resize_Claydol-15.png
Bug,resize_Pinsir-29.jpg
Ghost,resize_Duskull-10.png
Dragon,resize_LatiasMega Latias-12.jpg
Grass,resize_Amoonguss-11.png
Normal,resize_Swablu-9.png
Ice,resize_Articuno-4.png
Water,resize_Greninja-28.png
Rock,resize_Barbaracle-19.jpg
Grass,resize_Grovyle-10.png
Bug,resize_Pinsir-3.gif
Fire,resize_Entei-28.png
Ground,resize_Sandslash-32.png
Normal,resize_Meowth-25.png
Ice,resize_GlalieMega Glalie-9.jpg
Rock,resize_Graveler-20.jpg
Ground,resize_Krokorok-24.png
Rock,resize_Archeops-19.png
Ground,resize_Baltoy-6.jpg
Grass,resize_Oddish-28.jpg
Poison,resize_Nidoqueen-26.png
Normal,resize_Hoothoot-11.gif
Water,resize_Marill-16.jpg
Dark,resize_Absol-17.jpg
Water,resize_Seel-24.jpg
Ghost,resize_Banette-23.jpg
Psychic,resize_GalladeMega Gallade-24.png
Water,resize_Remoraid-13.jpg
Fighting,resize_Tyrogue-21.png
Poison,resize_Arbok-21.jpg
Grass,resize_Grotle-32.jpg
Bug,resize_Larvesta-15.jpg
Psychic,resize_GalladeMega Gallade-30.png
Normal,resize_PidgeotMega Pidgeot-3.png
Steel,resize_Klang-16.jpg
Ghost,resize_Lampent-11.png
Ground,resize_Gligar-19.png
Rock,resize_Shieldon-2.jpg
Fire,resize_Pignite-13.png
Normal,resize_Meowth-31.png
Ground,resize_Sandslash-26.png
Grass,resize_Vileplume-9.jpg
Normal,resize_Watchog-2.png
Ground,resize_Krokorok-30.png
Fire,resize_Emboar-28.png
Grass,resize_Exeggutor-34.jpg
Fire,resize_Charmeleon-6.jpg
Dragon,resize_Gible-7.png
Grass,resize_Chesnaught-12.jpg
Fire,resize_CameruptMega Camerupt-19.png
Normal,resize_Buneary-33.png
Normal,resize_Spinda-18.jpg
Steel,resize_Dialga-11.jpg
Psychic,resize_Hypno-4.png
Normal,resize_Meowth-19.png
Poison,resize_Zubat-2.png
Grass,resize_Exeggcute-12.png
Ghost,resize_Dusknoir-26.jpg
Ghost,resize_Litwick-33.png
Ground,resize_Gligar-9.jpg
Normal,resize_Stantler-6.jpg
Psychic,resize_GardevoirMega Gardevoir-1.png
Normal,resize_Rattata-12.jpg
Dark,resize_Darkrai-15.jpg
Rock,resize_Archeops-25.png
Psychic,resize_Uxie-7.png
Grass,resize_Leafeon-21.png
Grass,resize_Chespin-0.png
Water,resize_Greninja-4.jpg
Fire,resize_Charizard-33.jpg
Normal,resize_Pidgeotto-5.png
Normal,resize_Spinda-30.jpg
Electric,resize_Zebstrika-33.jpg
Bug,resize_Scizor-7.png
Water,resize_Seel-18.jpg
Poison,resize_Nidorino-21.png
Psychic,resize_GalladeMega Gallade-18.png
Water,resize_Clauncher-21.png
Psychic,resize_Kadabra-31.png
Normal,resize_Smeargle-29.jpg
Steel,resize_AegislashBlade Forme-2.jpg
Ground,resize_Gligar-31.png
Normal,resize_Porygon2-3.png
Grass,resize_Cherubi-25.jpg
Psychic,resize_Kadabra-25.png
Normal,resize_Regigigas-13.jpg
Psychic,resize_Chingling-13.jpg
Water,resize_Frillish-16.png
Water,resize_Feebas-1.png
Normal,resize_Delcatty-9.png
Poison,resize_Nidorina-18.png
Water,resize_Alomomola-10.png
Steel,resize_Klink-1.png
Rock,resize_Roggenrola-13.png
Fire,resize_Charizard-27.jpg
Grass,resize_Cottonee-1.png
Fire,resize_CameruptMega Camerupt-25.png
Fire,resize_Vulpix-8.jpg
Bug,resize_ScizorMega Scizor-26.jpg
Fire,resize_Talonflame-5.png
Rock,resize_Barbaracle-31.jpg
Normal,resize_Staravia-26.jpg
Psychic,resize_Musharna-29.png
Ghost,resize_Dusknoir-32.jpg
Psychic,resize_Mew-2.jpg
Fire,resize_Emboar-14.png
Dragon,resize_Salamence-8.jpg
Poison,resize_Nidorina-24.jpg
Fighting,resize_Machop-14.gif
Water,resize_Samurott-17.jpg
Bug,resize_Ninjask-10.png
Water,resize_Tentacool-7.gif
Water,resize_Mantine-23.png
Bug,resize_Ninjask-9.png
Water,resize_Seel-30.png
Dragon,resize_LatiasMega Latias-5.png
Poison,resize_Nidoqueen-32.jpg
Steel,resize_Honedge-17.png
Psychic,resize_Kadabra-19.jpg
Grass,resize_Cherubi-19.png
Ice,resize_Avalugg-21.jpg
Dragon,resize_GarchompMega Garchomp-6.png
Dark,resize_HoundoomMega Houndoom-6.png
Rock,resize_Solrock-32.png
Water,resize_Gorebyss-5.jpg
Psychic,resize_Musharna-15.jpg
Fire,resize_Delphox-8.png
Rock,resize_Graveler-34.png
Steel,resize_Klinklang-5.jpg
Electric,resize_Pachirisu-29.jpg
Poison,resize_Grimer-13.jpg
Psychic,resize_Wynaut-29.png
Electric,resize_Shinx-0.png
Steel,resize_Registeel-14.jpg
Electric,resize_Eelektrik-9.png
Normal,resize_Purugly-11.jpg
Bug,resize_Swadloon-0.png
Bug,resize_Ledian-5.jpg
Water,resize_Gyarados-22.jpg
Ghost,resize_Gengar-3.png
Grass,resize_ShayminSky Forme-9.png
Normal,resize_Buneary-27.jpg
Fighting,resize_Machamp-17.png
Grass,resize_Exeggutor-20.png
Normal,resize_Girafarig-23.jpg
Normal,resize_MeloettaAria Forme-4.png
Water,resize_Huntail-13.jpg
Dark,resize_Darkrai-29.png
Rock,resize_Solrock-26.png
Poison,resize_Nidoran♀-6.png
Steel,resize_Steelix-5.png
Ghost,resize_Mismagius-15.jpg
Rock,resize_Tyranitar-21.jpg
Water,resize_Chinchou-11.png
Dragon,resize_Fraxure-11.png
Normal,resize_Smeargle-15.png
Ghost,resize_GiratinaAltered Forme-13.png
Grass,resize_Foongus-13.png
Poison,resize_Nidorina-30.jpg
Bug,resize_Beautifly-4.png
Electric,resize_Tynamo-4.png
Dark,resize_Liepard-16.jpg
Grass,resize_Grotle-26.png
Ground,resize_Drilbur-16.png
Steel,resize_AggronMega Aggron-13.jpg
Ground,resize_Gligar-25.jpg
Rock,resize_Shieldon-34.gif
Water,resize_Corphish-2.png
Water,resize_Sharpedo-10.png
Water,resize_Kyogre-10.jpg
Water,resize_Milotic-33.jpeg
Psychic,resize_AlakazamMega Alakazam-8.jpg
Bug,resize_Larvesta-29.png
Steel,resize_Registeel-28.jpg
Normal,resize_Spinda-24.png
Electric,resize_Pachirisu-15.jpg
Electric,resize_Zebstrika-27.png
Ghost,resize_Phantump-20.png
Ground,resize_Hippowdon-3.png
Grass,resize_Budew-28.jpg
Grass,resize_ShayminLand Forme-5.png
Water,resize_Seismitoad-22.png
Rock,resize_Archeops-31.jpg
Ice,resize_Vanilluxe-0.png
Fighting,resize_Pangoro-1.jpg
Water,resize_Dewott-20.png
Steel,resize_Beldum-33.png
Fighting,resize_MedichamMega Medicham-9.png
Ghost,resize_Litwick-27.jpg
Normal,resize_Stoutland-5.png
Ghost,resize_Trevenant-17.jpg
Grass,resize_Oddish-14.png
Ghost,resize_Drifblim-32.jpg
Water,resize_Dewott-34.png
Bug,resize_Scatterbug-7.png
Ghost,resize_Mismagius-29.jpg
Steel,resize_Beldum-27.png
Fire,resize_Entei-14.jpg
Ground,resize_Krokorok-18.jpg
Fighting,resize_Lucario-16.png
Normal,resize_Tauros-6.png
Steel,resize_SteelixMega Steelix-8.png
Water,resize_Greninja-14.jpg
Ghost,resize_Phantump-34.png
Rock,resize_Barbaracle-25.png
Water,resize_Quagsire-1.jpg
Fire,resize_Moltres-22.jpg
Bug,resize_Illumise-12.png
Water,resize_Relicanth-8.png
Poison,resize_Skrelp-22.jpg
Normal,resize_Swablu-12.jpg
Steel,resize_Klinklang-10.png
Fighting,resize_LucarioMega Lucario-10.png
Grass,resize_Cherubi-31.png
Ghost,resize_BanetteMega Banette-26.png
Rock,resize_Cradily-24.png
Grass,resize_Abomasnow-32.jpg
Fairy,resize_Sylveon-4.png
Dragon,resize_Zygarde50% Forme-20.jpg
Normal,resize_Patrat-21.jpg
Fire,resize_Blaziken-24.jpg
Water,resize_Feebas-23.jpg
Grass,resize_Shroomish-29.jpg
Water,resize_Poliwag-34.jpg
Fire,resize_Fletchinder-29.png
Poison,resize_Nidoran♂-4.jpg
Psychic,resize_Kirlia-21.png
Dragon,resize_Druddigon-28.jpg
Water,resize_Shellder-5.png
Fairy,resize_Snubbull-13.png
Poison,resize_Golbat-0.png
Psychic,resize_Alakazam-25.png
Poison,resize_Zubat-22.jpg
Normal,resize_PidgeotMega Pidgeot-22.jpg
Normal,resize_Aipom-14.png
Fighting,resize_Sawk-3.png
Rock,resize_Aurorus-1.png
Dragon,resize_Dratini-16.jpg
Fire,resize_Numel-8.jpg
Water,resize_Wooper-10.png
Water,resize_Kyogre-7.png
Rock,resize_Tyrunt-7.png
Normal,resize_Glameow-13.jpg
Dark,resize_Bisharp-5.png
Dragon,resize_AltariaMega Altaria-10.png
Dark,resize_Yveltal-13.png
Water,resize_Magikarp-32.jpg
Electric,resize_Shinx-14.jpg
Rock,resize_AerodactylMega Aerodactyl-13.png
Normal,resize_Pidgeotto-17.gif
Water,resize_Basculin-4.png
Water,resize_Krabby-4.jpg
Psychic,resize_Grumpig-16.png
Bug,resize_Forretress-8.png
Ghost,resize_BanetteMega Banette-32.png
Normal,resize_Bouffalant-31.jpg
Grass,resize_Seedot-6.png
Rock,resize_Cradily-30.png
Psychic,resize_Reuniclus-9.jpg
Fire,resize_Magby-29.png
Dark,resize_Pawniard-31.jpg
Ghost,resize_Haunter-34.png
Dragon,resize_SalamenceMega Salamence-17.jpg
Grass,resize_Cacturne-15.jpg
Grass,resize_Skiddo-32.png
Electric,resize_Electrode-25.jpg
Fire,resize_Blaziken-18.jpg
Psychic,resize_HoopaHoopa Unbound-21.png
Normal,resize_Bouffalant-19.jpg
Rock,resize_Cradily-18.png
Fairy,resize_Flabébé-4.png
Dragon,resize_Gabite-6.png
Grass,resize_Chikorita-26.png
Dragon,resize_KyuremBlack Kyurem-27.jpg
Psychic,resize_Wobbuffet-13.jpg
Grass,resize_Hoppip-2.png
Psychic,resize_Drowzee-17.png
Fire,resize_Torchic-14.jpg
Fairy,resize_Cleffa-3.jpg
Normal,resize_Aipom-28.png
Poison,resize_Crobat-23.png
Normal,resize_Skitty-22.jpg
Fire,resize_Fletchinder-15.png
Water,resize_Dewgong-33.png
Bug,resize_Karrablast-0.png
Grass,resize_Carnivine-5.png
Dark,resize_Houndoom-22.jpg
Psychic,resize_Gallade-17.jpg
Normal,resize_Rufflet-15.jpg
Water,resize_BlastoiseMega Blastoise-8.jpg
Rock,resize_Kabutops-11.png
Water,resize_Slowbro-0.png
Normal,resize_Teddiursa-30.png
Dragon,resize_Rayquaza-28.jpg
Fairy,resize_Togepi-10.png
Fighting,resize_Throh-21.png
Normal,resize_Starly-1.png
Fire,resize_Charmander-7.png
Poison,resize_Dragalge-20.png
Water,resize_Totodile-21.jpg
Poison,resize_Drapion-8.png
Ground,resize_Marowak-25.png
Water,resize_Prinplup-7.jpg
Flying,resize_Noivern-9.jpg
Electric,resize_Elekid-14.png
Fire,resize_Magmar-4.jpg
Grass,resize_Chikorita-32.png
Ice,resize_Articuno-13.jpg
Grass,resize_Simisage-16.jpg
Electric,resize_Magnezone-13.png
Fire,resize_Magby-15.png
Ghost,resize_Haunter-20.png
Bug,resize_Crustle-31.jpg
Dark,resize_Deino-10.png
Electric,resize_Shinx-28.jpg
Grass,resize_Cherrim-7.jpg
Ice,resize_Glaceon-2.png
